Name,Heights in cm,Weights in kg,Age,Gender,Country,Activity Level,BMI,Status,Age Groups
John Sharma,166.04,86.2,67,Male,China,Low,31.27,Obese,Old
Noah Lee,168.8,66.8,57,Female,India,Low,23.44,Normal,Old
Aarav Smith,151.36,59.8,62,Female,Canada,Low,26.1,Overweight,Old
Aisha Sharma,165.33,68.8,45,Female,Bangladesh,Low,25.17,Overweight,Adult
John Singh,151.58,77.7,43,Male,Bangladesh,High,33.82,Obese,Adult
Emma Khan,188.49,88.2,20,Female,India,Moderate,24.83,Normal,Young
Aisha Patel,169.82,90.4,51,Female,India,Low,31.35,Obese,Old
Liam Sharma,169.19,47.7,50,Female,India,High,16.66,Underweight,Adult
Liam Sharma,159.13,97.6,22,Female,Canada,Low,38.54,Obese,Young
Aisha Lee,187.7,41.4,51,Male,Sri Lanka,Moderate,11.75,Underweight,Old
Noah Khan,157.09,70.1,39,Male,USA,High,28.41,Overweight,Adult
Noah Khan,176.99,90.4,46,Male,Australia,Moderate,28.86,Overweight,Adult
John Smith,186.99,82.6,63,Male,UK,Low,23.62,Normal,Old
Noah Brown,150.49,67.8,56,Male,Sri Lanka,High,29.94,Overweight,Old
Noah Brown,158.8,64.7,57,Male,UAE,High,25.66,Overweight,Old
Aarav Singh,174.95,96.4,55,Male,USA,High,31.5,Obese,Old
Noah Sharma,163.59,46.6,41,Male,UAE,Moderate,17.41,Underweight,Adult
John Singh,176.51,43.9,49,Male,Bangladesh,High,14.09,Underweight,Adult
John Singh,168.17,81.2,65,Male,USA,High,28.71,Overweight,Old
Sophia Lee,175.59,54.9,24,Female,USA,High,17.81,Underweight,Young
John Singh,160.82,57.6,49,Male,UK,Moderate,22.27,Normal,Adult
Aarav Smith,156.06,94.1,67,Male,Russia,Low,38.64,Obese,Old
Sophia Sharma,155.12,92.8,65,Male,Bangladesh,High,38.57,Obese,Old
Noah Patel,188.11,52.6,25,Female,China,High,14.86,Underweight,Young
Emma Brown,188.72,66.9,36,Female,Bangladesh,Low,18.78,Normal,Adult
Sophia Singh,168.99,45.1,31,Male,Canada,Moderate,15.79,Underweight,Adult
Aarav Singh,172.85,96.3,70,Male,Bangladesh,Low,32.23,Obese,Old
Rahul Smith,182.36,73.2,36,Female,Canada,Moderate,22.01,Normal,Adult
Noah Brown,161.21,86.5,49,Female,China,Low,33.28,Obese,Adult
John Sharma,151.34,90.4,42,Male,USA,Moderate,39.47,Obese,Adult
